(0, 15, 24, 17)
(1, 19, 23, 17)
(2, 17, 6, 5)
(3, 20, 29, 18)
(4, 15, 20, 8)
(5, 20, 28, 20)
(6, 19, 27, 17)
(7, 13, 30, 16)
(8, 19, 24, 22)
(9, 18, 21, 11)
(10, 18, 25, 9)
(11, 20, 23, 18)
(12, 19, 22, 14)
(13, 16, 29, 16)
(14, 17, 26, 15)
(15, 20, 27, 18)
(16, 18, 31, 13)
(17, 16, 32, 16)
(18, 15, 24, 11)
(19, 16, 28, 11)
(20, 17, 25, 15)
(21, 20, 17, 15)
(22, 14, 28, 15)
(23, 17, 32, 21)
(24, 20, 23, 17)
(25, 15, 28, 11)
(26, 19, 17, 9)
(27, 19, 24, 17)
(28, 12, 26, 17)
(29, 26, 18, 16)
(30, 18, 22, 16)
(31, 15, 21, 13)
(32, 23, 21, 15)
(33, 20, 30, 15)
(34, 20, 31, 20)
(35, 14, 31, 19)
(36, 17, 23, 15)
(37, 17, 21, 14)
(38, 16, 25, 21)
(39, 23, 23, 17)
(40, 17, 20, 13)
(41, 17, 12, 9)
(42, 19, 6, 8)
(43, 19, 15, 11)
(44, 18, 31, 18)
(45, 21, 27, 17)
(46, 19, 22, 16)
(47, 16, 28, 17)
(48, 23, 29, 17)
(49, 20, 28, 20)
(50, 20, 24, 20)
(51, 21, 13, 13)
(52, 19, 23, 15)
(53, 21, 32, 29)
(54, 24, 29, 24)
(55, 21, 29, 23)
(56, 17, 28, 17)
(57, 13, 40, 24)
(58, 23, 28, 16)
(59, 13, 38, 18)
(60, 21, 14, 12)
(61, 13, 24, 8)
(62, 13, 31, 17)
(63, 17, 30, 17)
(64, 20, 35, 23)
(65, 21, 26, 17)
(66, 21, 25, 11)
(67, 24, 26, 19)
(68, 22, 27, 19)
(69, 17, 19, 8)
(70, 14, 22, 16)
(71, 15, 26, 15)
(72, 17, 25, 13)
(73, 16, 22, 13)
(74, 18, 29, 16)
(75, 23, 28, 17)
(76, 22, 21, 15)
(77, 16, 30, 22)
(78, 23, 18, 21)
(79, 16, 19, 15)
(80, 20, 6, 5)
(81, 20, 25, 15)
(82, 15, 33, 20)
(83, 22, 22, 13)
(84, 24, 27, 15)
(85, 14, 34, 19)
(86, 24, 23, 15)
(87, 20, 29, 17)
(88, 15, 14, 10)
(89, 25, 15, 16)
(90, 20, 27, 13)
(91, 21, 20, 13)
(92, 14, 30, 18)
(93, 19, 19, 15)
(94, 19, 32, 17)
(95, 27, 30, 19)
(96, 13, 29, 11)
(97, 27, 21, 10)
(98, 19, 23, 22)
(99, 13, 34, 14)
(100, 22, 29, 17)
(101, 13, 27, 10)
(102, 17, 25, 19)
(103, 20, 25, 18)
(104, 11, 31, 16)
(105, 15, 30, 15)
(106, 17, 23, 10)
(107, 22, 21, 18)
(108, 18, 31, 21)
(109, 20, 25, 16)
(110, 15, 32, 21)
(111, 16, 32, 17)
(112, 18, 20, 13)
(113, 11, 19, 6)
(114, 21, 14, 10)
(115, 19, 23, 21)
(116, 21, 20, 14)
(117, 22, 23, 15)
(118, 21, 27, 18)
(119, 12, 19, 8)
(120, 17, 23, 17)
(121, 24, 23, 17)
(122, 24, 13, 11)
(123, 16, 22, 11)
